# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04000 0.12843 0.27332 -0.27601 -0.01121 0.04552 -0.10113 0.01834
-5.5 0.03567 0.12804 0.24253 -0.24484 -0.01226 0.04758 -0.09092 0.01489
-5.0 0.03176 0.12764 0.21173 -0.21370 -0.01319 0.04962 -0.08180 0.01144
-4.5 0.02826 0.12723 0.18093 -0.18259 -0.01398 0.05167 -0.07379 0.00799
-4.0 0.02517 0.12680 0.15014 -0.15153 -0.01464 0.05371 -0.06688 0.00454
-3.5 0.02250 0.12637 0.11936 -0.12051 -0.01518 0.05574 -0.06108 0.00109
-3.0 0.02025 0.12593 0.08861 -0.08955 -0.01558 0.05777 -0.05639 -0.00236
-2.5 0.01841 0.12548 0.05789 -0.05864 -0.01587 0.05980 -0.05281 -0.00581
-2.0 0.01699 0.12502 0.02723 -0.02780 -0.01603 0.06182 -0.05034 -0.00926
-1.5 0.01599 0.12455 -0.00339 0.00297 -0.01608 0.06384 -0.04897 -0.01270
-1.0 0.01541 0.12407 -0.03394 0.03367 -0.01600 0.06585 -0.04873 -0.01615
-0.5 0.01524 0.12358 -0.06442 0.06428 -0.01581 0.06786 -0.04959 -0.01960
0.0 0.01550 0.12308 -0.09482 0.09482 -0.01550 0.06986 -0.05156 -0.02304
0.5 0.01617 0.12257 -0.12512 0.12526 -0.01508 0.07186 -0.05465 -0.02649
1.0 0.01726 0.12206 -0.15532 0.15560 -0.01455 0.07385 -0.05885 -0.02993
1.5 0.01877 0.12153 -0.18542 0.18585 -0.01391 0.07584 -0.06415 -0.03337
2.0 0.02069 0.12099 -0.21539 0.21598 -0.01316 0.07782 -0.07056 -0.03681
2.5 0.02304 0.12045 -0.24524 0.24601 -0.01232 0.07979 -0.07808 -0.04024
3.0 0.02580 0.11990 -0.27495 0.27592 -0.01137 0.08176 -0.08670 -0.04367
3.5 0.02897 0.11933 -0.30451 0.30571 -0.01033 0.08372 -0.09642 -0.04710
4.0 0.03256 0.11876 -0.33391 0.33537 -0.00919 0.08568 -0.10724 -0.05052
4.5 0.03656 0.11818 -0.36316 0.36490 -0.00796 0.08762 -0.11915 -0.05394
5.0 0.04097 0.11759 -0.39222 0.39430 -0.00663 0.08957 -0.13216 -0.05736
5.5 0.04580 0.11699 -0.42111 0.42356 -0.00523 0.09150 -0.14625 -0.06077
6.0 0.05103 0.11638 -0.44981 0.45268 -0.00374 0.09343 -0.16142 -0.06418
6.5 0.05667 0.11576 -0.47830 0.48164 -0.00216 0.09535 -0.17767 -0.06758
7.0 0.06272 0.11514 -0.50659 0.51046 -0.00052 0.09727 -0.19499 -0.07098
7.5 0.06917 0.11450 -0.53466 0.53911 0.00121 0.09917 -0.21338 -0.07437
8.0 0.07603 0.11386 -0.56250 0.56761 0.00300 0.10107 -0.23283 -0.07775
8.5 0.08328 0.11321 -0.59011 0.59594 0.00486 0.10296 -0.25334 -0.08113
9.0 0.09093 0.11255 -0.61748 0.62410 0.00678 0.10485 -0.27490 -0.08451
9.5 0.09898 0.11188 -0.64460 0.65209 0.00877 0.10672 -0.29750 -0.08787
10.0 0.10742 0.11120 -0.67145 0.67990 0.01081 0.10859 -0.32113 -0.09123
10.5 0.11625 0.11051 -0.69804 0.70754 0.01291 0.11045 -0.34580 -0.09459
11.0 0.12547 0.10982 -0.72436 0.73499 0.01505 0.11230 -0.37148 -0.09793
11.5 0.13507 0.10912 -0.75039 0.76225 0.01725 0.11414 -0.39818 -0.10127
12.0 0.14505 0.10841 -0.77613 0.78933 0.01948 0.11598 -0.42589 -0.10460
12.5 0.15542 0.10769 -0.80157 0.81621 0.02176 0.11780 -0.45459 -0.10793
13.0 0.16616 0.10696 -0.82670 0.84289 0.02407 0.11962 -0.48428 -0.11124
13.5 0.17727 0.10622 -0.85152 0.86938 0.02641 0.12143 -0.51496 -0.11455
14.0 0.18875 0.10548 -0.87602 0.89566 0.02878 0.12322 -0.54660 -0.11785
14.5 0.20060 0.10473 -0.90019 0.92174 0.03118 0.12501 -0.57920 -0.12114
15.0 0.21281 0.10397 -0.92402 0.94761 0.03360 0.12679 -0.61275 -0.12442
15.5 0.22538 0.10320 -0.94750 0.97327 0.03603 0.12856 -0.64724 -0.12769
16.0 0.23830 0.10242 -0.97064 0.99872 0.03848 0.13032 -0.68266 -0.13095
16.5 0.25157 0.10164 -0.99342 1.02396 0.04093 0.13207 -0.71900 -0.13420
17.0 0.26519 0.10085 -1.01583 1.04897 0.04340 0.13381 -0.75625 -0.13744
17.5 0.27915 0.10005 -1.03787 1.07377 0.04586 0.13553 -0.79439 -0.14067
18.0 0.29345 0.09924 -1.05953 1.09835 0.04832 0.13725 -0.83342 -0.14389
18.5 0.30808 0.09843 -1.08080 1.12271 0.05078 0.13896 -0.87332 -0.14710
19.0 0.32305 0.09761 -1.10168 1.14684 0.05323 0.14066 -0.91409 -0.15029
19.5 0.33834 0.09678 -1.12217 1.17074 0.05566 0.14235 -0.95570 -0.15348
20.0 0.35394 0.09594 -1.14225 1.19442 0.05807 0.14402 -0.99814 -0.15665
20.5 0.36987 0.09510 -1.16192 1.21786 0.06047 0.14569 -1.04141 -0.15981
21.0 0.38610 0.09425 -1.18117 1.24108 0.06284 0.14734 -1.08549 -0.16296
21.5 0.40264 0.09339 -1.20000 1.26407 0.06518 0.14898 -1.13037 -0.16610
22.0 0.41948 0.09252 -1.21840 1.28682 0.06749 0.15062 -1.17603 -0.16923
