# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04287 -0.13945 0.27050 -0.27350 -0.01436 -0.04943 -0.10839 -0.01991
-5.5 0.03858 -0.13902 0.23993 -0.24253 -0.01540 -0.05166 -0.09825 -0.01617
-5.0 0.03469 -0.13859 0.20935 -0.21158 -0.01631 -0.05388 -0.08920 -0.01243
-4.5 0.03122 -0.13814 0.17877 -0.18067 -0.01709 -0.05610 -0.08124 -0.00868
-4.0 0.02815 -0.13768 0.14819 -0.14979 -0.01775 -0.05831 -0.07439 -0.00493
-3.5 0.02550 -0.13721 0.11763 -0.11897 -0.01827 -0.06052 -0.06863 -0.00119
-3.0 0.02326 -0.13673 0.08710 -0.08820 -0.01867 -0.06273 -0.06397 0.00256
-2.5 0.02144 -0.13624 0.05660 -0.05748 -0.01895 -0.06493 -0.06041 0.00630
-2.0 0.02003 -0.13574 0.02615 -0.02683 -0.01910 -0.06712 -0.05795 0.01005
-1.5 0.01903 -0.13523 -0.00425 0.00375 -0.01914 -0.06931 -0.05660 0.01379
-1.0 0.01846 -0.13471 -0.03459 0.03426 -0.01906 -0.07150 -0.05636 0.01754
-0.5 0.01829 -0.13418 -0.06485 0.06469 -0.01886 -0.07368 -0.05721 0.02128
0.0 0.01854 -0.13364 -0.09503 0.09503 -0.01854 -0.07585 -0.05917 0.02502
0.5 0.01921 -0.13309 -0.12512 0.12528 -0.01812 -0.07802 -0.06224 0.02876
1.0 0.02029 -0.13252 -0.15511 0.15544 -0.01758 -0.08018 -0.06640 0.03250
1.5 0.02179 -0.13195 -0.18499 0.18550 -0.01694 -0.08234 -0.07167 0.03623
2.0 0.02370 -0.13137 -0.21475 0.21545 -0.01619 -0.08449 -0.07804 0.03996
2.5 0.02603 -0.13078 -0.24439 0.24529 -0.01534 -0.08663 -0.08550 0.04369
3.0 0.02877 -0.13018 -0.27389 0.27502 -0.01440 -0.08877 -0.09406 0.04742
