# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      
belloc               foil_left              9.937500000000e-01  -5.779365213793e-02  -6.883032970177e-01   3.709301280909e-01   1.085889830508e-01   5.235987755983e-02   1.328526137961e+00  -1.226966464152e-01  -1.226966464221e-01   1.157151350636e-03   1.205878571941e+00   0.000000000000e+00  -3.929817934754e+01   2.001537770374e+00  -2.889328190626e+00   2.908768926202e+05   1.158545661230e-01   2.405965902126e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480795e-02
belloc               foil_left              9.812500000000e-01  -5.647956507838e-02  -6.857465953702e-01   3.605851321636e-01   1.117669491525e-01   5.235987755983e-02   1.328489160646e+00  -1.226966464152e-01  -1.226966464636e-01   1.191016551907e-03   2.059945496542e+00   0.000000000000e+00  -3.924389246198e+01   1.431094851711e+00  -3.034085397529e+00   2.988756731418e+05   1.156556542894e-01   3.276492646045e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              9.687500000000e-01  -5.516547801884e-02  -6.831895111944e-01   3.502402307834e-01   1.149449152542e-01   5.235987755983e-02   1.328452183331e+00  -1.226966464152e-01  -1.226966464636e-01   1.224881753178e-03   2.562210226142e+00   0.000000000000e+00  -3.918494386047e+01   1.097020999378e+00  -3.121795396051e+00   3.068882412766e+05   1.154729292462e-01   3.788437163895e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              9.562500000000e-01  -5.385139095929e-02  -6.806320444936e-01   3.398954239643e-01   1.181228813559e-01   5.235987755983e-02   1.328415206017e+00  -1.226966464152e-01  -1.226966464636e-01   1.258746954449e-03   2.905476796826e+00   0.000000000000e+00  -3.911386642128e+01   8.698968032615e-01  -3.184103994077e+00   3.148031915227e+05   1.152642937228e-01   4.138319265019e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              9.437500000000e-01  -5.253730389974e-02  -6.780741952714e-01   3.295507117205e-01   1.213008474576e-01   5.235987755983e-02   1.328378228702e+00  -1.226966464152e-01  -1.226966464636e-01   1.292612155720e-03   3.161518769843e+00   0.000000000000e+00  -3.902110439554e+01   7.016954030155e-01  -3.232659386175e+00   3.225209415640e+05   1.149962776905e-01   4.399295751407e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              9.312500000000e-01  -5.122321684020e-02  -6.755159635312e-01   3.192060940663e-01   1.244788135593e-01   5.235987755983e-02   1.328341251387e+00  -1.226966464152e-01  -1.226966464636e-01   1.326477356992e-03   3.367290310643e+00   0.000000000000e+00  -3.888868545111e+01   5.678312134547e-01  -3.273003676164e+00   3.298714071662e+05   1.146143331023e-01   4.609032979537e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              9.187500000000e-01  -4.990912978065e-02  -6.729573492767e-01   3.088615710156e-01   1.276567796610e-01   5.235987755983e-02   1.328304274073e+00  -1.226966464152e-01  -1.226966464636e-01   1.360342558263e-03   3.549012194719e+00   0.000000000000e+00  -3.867344844369e+01   4.510528215637e-01  -3.307430754989e+00   3.364540137059e+05   1.139912531437e-01   4.794257059107e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              9.062500000000e-01  -4.859504272111e-02  -6.703983525112e-01   2.985171425827e-01   1.308347457627e-01   5.235987755983e-02   1.328267296758e+00  -1.226966464152e-01  -1.226966464636e-01   1.394207759534e-03   3.741808652810e+00   0.000000000000e+00  -3.822995933081e+01   3.284470087558e-01  -3.331846917193e+00   3.409231734571e+05   1.126997951169e-01   4.990769145139e-01   0.000000000000e+00   1.200000000000e-02  -2.015149480805e-02
belloc               foil_left              8.937500000000e-01  -4.728095566156e-02  -6.678389732382e-01   2.881728087817e-01   1.340127118644e-01   5.235987755983e-02   1.328230319443e+00  -1.226966464152e-01  -1.223101877013e-01   1.428072960805e-03   4.137882407762e+00   0.000000000000e+00  -3.640114268360e+01   2.438583683725e-01  -3.220629302755e+00   3.325513343245e+05   1.073202644142e-01   5.394420159195e-01   0.000000000000e+00   1.200000000000e-02  -2.015053600714e-02
belloc               foil_left              8.812500000000e-01  -4.597410942223e-02  -6.650465091075e-01   2.779397376549e-01   1.378941310397e-01   5.206681854364e-02   9.220574438286e-01  -1.115265392024e-01  -1.191918277857e-01   1.469434333892e-03   3.845965946957e+00   0.000000000000e+00  -3.892201679478e+01   1.135767019482e+00  -3.729177210102e+00   3.665697361014e+05   1.149252688222e-01   5.096432597065e-01   0.000000000000e+00   1.200000000000e-02  -2.014291276352e-02
