xflr5 v6.48

Plane name :        Belloc
Polar name :        VLM2-b00-Inviscid
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.000     0.000  -0.290968   0.005790   0.000000   0.005790   0.000000   0.000000  -0.163060   0.000000   0.000000   40.0000     0.0971
   -5.500     0.000  -0.258889   0.004672   0.000000   0.004672   0.000000   0.000000  -0.134089   0.000000   0.000000   40.0000     0.0950
   -5.000     0.000  -0.226822   0.003683   0.000000   0.003683   0.000000   0.000000  -0.108121   0.000000   0.000000   40.0000     0.0924
   -4.500     0.000  -0.194779   0.002823   0.000000   0.002823   0.000000   0.000000  -0.085162   0.000000   0.000000   40.0000     0.0892
   -4.000     0.000  -0.162767   0.002090   0.000000   0.002090   0.000000   0.000000  -0.065216   0.000000   0.000000   40.0000     0.0850
   -3.500     0.000  -0.130796   0.001483   0.000000   0.001483   0.000000   0.000000  -0.048284   0.000000   0.000000   40.0000     0.0790
   -3.000     0.000  -0.098876   0.001004   0.000000   0.001004   0.000000   0.000000  -0.034366   0.000000   0.000000   40.0000     0.0696
   -2.500     0.000  -0.067016   0.000649   0.000000   0.000649   0.000000   0.000000  -0.023459  -0.000000  -0.000000   40.0000     0.0517
   -2.000     0.000  -0.035224   0.000420   0.000000   0.000420   0.000000   0.000000  -0.015558  -0.000000  -0.000000   40.0000     0.0027
   -1.500     0.000  -0.003511   0.000314   0.000000   0.000314   0.000000   0.000000  -0.010657  -0.000000  -0.000000   40.0000    -0.9198
   -1.000     0.000   0.028116   0.000331   0.000000   0.000331   0.000000   0.000000  -0.008747  -0.000000  -0.000000   40.0000     0.2315
   -0.500     0.000   0.059647   0.000469   0.000000   0.000469   0.000000  -0.000000  -0.009816   0.000000   0.000000   40.0000     0.1634
    0.000     0.000   0.091074   0.000729   0.000000   0.000729   0.000000  -0.000000  -0.013851   0.000000   0.000000   40.0000     0.1420
    0.500     0.000   0.122387   0.001107   0.000000   0.001107   0.000000  -0.000000  -0.020837   0.000000   0.000000   40.0000     0.1313
    1.000     0.000   0.153578   0.001605   0.000000   0.001605   0.000000  -0.000000  -0.030757   0.000000   0.000000   40.0000     0.1248
    1.500     0.000   0.184639   0.002219   0.000000   0.002219   0.000000  -0.000000  -0.043592   0.000000   0.000000   40.0000     0.1203
    2.000     0.000   0.215561   0.002949   0.000000   0.002949   0.000000  -0.000000  -0.059320   0.000000   0.000000   40.0000     0.1170
    2.500     0.000   0.246336   0.003793   0.000000   0.003793   0.000000  -0.000000  -0.077920   0.000000   0.000000   40.0000     0.1143
